job_title,company_name,company_location,seniority_level,employment_type,job_description
Python Developer (internship),MindPal,"San Francisco, CA",Internship,Internship,"Summer Internship Opportunity - Python Developer at Mindpal (In collaboration with Sky Gate) Hello!We are on the lookout for 2-3 passionate individuals ready to embark on a 3-month unpaid summer internship as Python Developers. This internship provides an excellent opportunity to gain hands-on experience and practical knowledge in the evolving tech industry, offering a viable alternative to expensive courses or boot camps.At the end of the internship, there is a high probability of transitioning to a paid Junior position within the team, thus kick-starting your career in the tech industry.Don't miss this chance to be part of a team building applications with state-of-the-art AI tools!Responsibilities:Maintain and develop the backend of a recruitment platform based on the Django Rest FrameworkWrite unit tests for new functionalitiesDeliver readable and transparent codeBuild dashboards based on SQL queries and process the resultsHave direct contact with the clientRequirements:Enthusiasm for learning and an open mindKnowledge of Python/Django and an interest in AI/LLMCandidates ready to work from our office in GliwiceWe look forward to hearing from you!RequirementsResponsibilities"
Junior Python Developer,Team Remotely Inc,"Wilmington, DE",Entry level,Full-time,"This is a remote position. Junior Python Developer (1 year experience, remote)Be part of our future! This job posting builds our talent pool for potential future openings. We'll compare your skills and experience against both current and future needs. If there's a match, we'll contact you directly. No guarantee of immediate placement, and we only consider applications from US/Canada residents during the application process. Hiring Type: Full-Time Base Salary: $58K-$68K Per Annum.Description:In this role, you will work closely with senior developers and other cross-functional teams to develop and maintain high-quality Python applications. As a Junior Python Developer, you will have the opportunity to learn and grow your skills while contributing to exciting projects.Responsibilities:Collaborate with senior developers to design and develop Python applications. Write clean, efficient, and maintainable code that follows best practices. Participate in code reviews and provide constructive feedback. Debug and fix issues in the existing codebase. Assist in testing and quality assurance processes. Stay updated with the latest trends and technologies in Python development. Requirements:Bachelor's degree in Computer Science, Software Engineering, or a related field. Strong knowledge of Python programming language. Familiarity with web frameworks such as Django or Flask. Experience with version control systems, preferably Git. Basic understanding of front-end technologies (HTML, CSS, JavaScript). Good problem-solving and analytical skills. Excellent communication and teamwork abilities. Self-motivated and eager to learn. Nice to have:Experience with database systems such as MySQL, PostgreSQL, or MongoDB. Knowledge of RESTful APIs and integration. Familiarity with cloud platforms such as AWS or Azure. Understanding of agile development methodologies. Benefits:Flexible vacation, unlimited paid holidays, and paid sick days 401(k) with up to 2% employer match Health, vision, and dental insurance"
Python Developer (internship),MindPal,"Chicago, IL",Internship,Internship,"Summer Internship Opportunity - Python Developer at Mindpal (In collaboration with Sky Gate) Hello!We are on the lookout for 2-3 passionate individuals ready to embark on a 3-month unpaid summer internship as Python Developers. This internship provides an excellent opportunity to gain hands-on experience and practical knowledge in the evolving tech industry, offering a viable alternative to expensive courses or boot camps.At the end of the internship, there is a high probability of transitioning to a paid Junior position within the team, thus kick-starting your career in the tech industry.Don't miss this chance to be part of a team building applications with state-of-the-art AI tools!Responsibilities:Maintain and develop the backend of a recruitment platform based on the Django Rest FrameworkWrite unit tests for new functionalitiesDeliver readable and transparent codeBuild dashboards based on SQL queries and process the resultsHave direct contact with the clientRequirements:Enthusiasm for learning and an open mindKnowledge of Python/Django and an interest in AI/LLMCandidates ready to work from our office in GliwiceWe look forward to hearing from you!RequirementsResponsibilities"
Python Developer (internship),MindPal,"San Jose, CA",Internship,Internship,"Summer Internship Opportunity - Python Developer at Mindpal (In collaboration with Sky Gate) Hello!We are on the lookout for 2-3 passionate individuals ready to embark on a 3-month unpaid summer internship as Python Developers. This internship provides an excellent opportunity to gain hands-on experience and practical knowledge in the evolving tech industry, offering a viable alternative to expensive courses or boot camps.At the end of the internship, there is a high probability of transitioning to a paid Junior position within the team, thus kick-starting your career in the tech industry.Don't miss this chance to be part of a team building applications with state-of-the-art AI tools!Responsibilities:Maintain and develop the backend of a recruitment platform based on the Django Rest FrameworkWrite unit tests for new functionalitiesDeliver readable and transparent codeBuild dashboards based on SQL queries and process the resultsHave direct contact with the clientRequirements:Enthusiasm for learning and an open mindKnowledge of Python/Django and an interest in AI/LLMCandidates ready to work from our office in GliwiceWe look forward to hearing from you!RequirementsResponsibilities"
Python Developer (internship),MindPal,"Spokane, MO",Internship,Internship,"Summer Internship Opportunity - Python Developer at Mindpal (In collaboration with Sky Gate) Hello!We are on the lookout for 2-3 passionate individuals ready to embark on a 3-month unpaid summer internship as Python Developers. This internship provides an excellent opportunity to gain hands-on experience and practical knowledge in the evolving tech industry, offering a viable alternative to expensive courses or boot camps.At the end of the internship, there is a high probability of transitioning to a paid Junior position within the team, thus kick-starting your career in the tech industry.Don't miss this chance to be part of a team building applications with state-of-the-art AI tools!Responsibilities:Maintain and develop the backend of a recruitment platform based on the Django Rest FrameworkWrite unit tests for new functionalitiesDeliver readable and transparent codeBuild dashboards based on SQL queries and process the resultsHave direct contact with the clientRequirements:Enthusiasm for learning and an open mindKnowledge of Python/Django and an interest in AI/LLMCandidates ready to work from our office in GliwiceWe look forward to hearing from you!RequirementsResponsibilities"
Junior Python Developer,Patterned Learning Career,"Chicago, IL",Entry level,Full-time,"This is a remote position.Junior Python Developer - Remote Job, 1+ Year ExperienceAnnual Income: $64K - $75KA valid work permit is necessary in the USAbout us: Patterned Learning is a platform that aims to help developers code faster and more efficiently. It offers features such as collaborative coding, real-time multiplayer editing, and the ability to build, test, and deploy directly from the browser. The platform also provides tightly integrated code generation, editing, and output capabilities.Description:In this role, you will work closely with senior developers and other cross-functional teams to develop and maintain high-quality Python applications. As a Junior Python Developer, you will have the opportunity to learn and grow your skills while contributing to exciting projects.Responsibilities:Collaborate with senior developers to design and develop Python applications. Write clean, efficient, and maintainable code that follows best practices. Participate in code reviews and provide constructive feedback. Debug and fix issues in the existing codebase. Assist in testing and quality assurance processes. Stay updated with the latest trends and technologies in Python development. Requirements:Bachelor's degree in Computer Science, Software Engineering, or a related field. Strong knowledge of Python programming language. Familiarity with web frameworks such as Django or Flask. Experience with version control systems, preferably Git. Basic understanding of front-end technologies (HTML, CSS, JavaScript). Good problem-solving and analytical skills. Excellent communication and teamwork abilities. Self-motivated and eager to learn. Nice to have:Experience with database systems such as MySQL, PostgreSQL, or MongoDB. Knowledge of RESTful APIs and integration. Familiarity with cloud platforms such as AWS or Azure. Understanding of agile development methodologies. Benefits:Flexible vacation, unlimited paid holidays, and paid sick days 401(k) with up to 2% employer match Health, vision, and dental insurance Why Patterned Learning LLC?Patterned Learning can provide intelligent suggestions, automate repetitive tasks, and assist developers in writing code more effectively. This can help reduce coding errors, improve productivity, and accelerate the development process.Pattern recognition is particularly relevant in the context of coding. Neural networks, especially deep learning models, are commonly employed for pattern detection and classification tasks. These models simulate human decision-making and can identify patterns in data, making them well-suited for tasks like code analysis and generation."
Python Developer (internship),MindPal,"Indianapolis, IN",Internship,Internship,"Summer Internship Opportunity - Python Developer at Mindpal (In collaboration with Sky Gate) Hello!We are on the lookout for 2-3 passionate individuals ready to embark on a 3-month unpaid summer internship as Python Developers. This internship provides an excellent opportunity to gain hands-on experience and practical knowledge in the evolving tech industry, offering a viable alternative to expensive courses or boot camps.At the end of the internship, there is a high probability of transitioning to a paid Junior position within the team, thus kick-starting your career in the tech industry.Don't miss this chance to be part of a team building applications with state-of-the-art AI tools!Responsibilities:Maintain and develop the backend of a recruitment platform based on the Django Rest FrameworkWrite unit tests for new functionalitiesDeliver readable and transparent codeBuild dashboards based on SQL queries and process the resultsHave direct contact with the clientRequirements:Enthusiasm for learning and an open mindKnowledge of Python/Django and an interest in AI/LLMCandidates ready to work from our office in GliwiceWe look forward to hearing from you!RequirementsResponsibilities"
Python Developer (internship),MindPal,"Phoenix, AZ",Internship,Internship,"Summer Internship Opportunity - Python Developer at Mindpal (In collaboration with Sky Gate) Hello!We are on the lookout for 2-3 passionate individuals ready to embark on a 3-month unpaid summer internship as Python Developers. This internship provides an excellent opportunity to gain hands-on experience and practical knowledge in the evolving tech industry, offering a viable alternative to expensive courses or boot camps.At the end of the internship, there is a high probability of transitioning to a paid Junior position within the team, thus kick-starting your career in the tech industry.Don't miss this chance to be part of a team building applications with state-of-the-art AI tools!Responsibilities:Maintain and develop the backend of a recruitment platform based on the Django Rest FrameworkWrite unit tests for new functionalitiesDeliver readable and transparent codeBuild dashboards based on SQL queries and process the resultsHave direct contact with the clientRequirements:Enthusiasm for learning and an open mindKnowledge of Python/Django and an interest in AI/LLMCandidates ready to work from our office in GliwiceWe look forward to hearing from you!RequirementsResponsibilities"
Python Developer (internship),MindPal,"Columbus, OH",Internship,Internship,"Summer Internship Opportunity - Python Developer at Mindpal (In collaboration with Sky Gate) Hello!We are on the lookout for 2-3 passionate individuals ready to embark on a 3-month unpaid summer internship as Python Developers. This internship provides an excellent opportunity to gain hands-on experience and practical knowledge in the evolving tech industry, offering a viable alternative to expensive courses or boot camps.At the end of the internship, there is a high probability of transitioning to a paid Junior position within the team, thus kick-starting your career in the tech industry.Don't miss this chance to be part of a team building applications with state-of-the-art AI tools!Responsibilities:Maintain and develop the backend of a recruitment platform based on the Django Rest FrameworkWrite unit tests for new functionalitiesDeliver readable and transparent codeBuild dashboards based on SQL queries and process the resultsHave direct contact with the clientRequirements:Enthusiasm for learning and an open mindKnowledge of Python/Django and an interest in AI/LLMCandidates ready to work from our office in GliwiceWe look forward to hearing from you!RequirementsResponsibilities"
Python Developer (internship),MindPal,"Tampa, FL",Internship,Internship,"Summer Internship Opportunity - Python Developer at Mindpal (In collaboration with Sky Gate) Hello!We are on the lookout for 2-3 passionate individuals ready to embark on a 3-month unpaid summer internship as Python Developers. This internship provides an excellent opportunity to gain hands-on experience and practical knowledge in the evolving tech industry, offering a viable alternative to expensive courses or boot camps.At the end of the internship, there is a high probability of transitioning to a paid Junior position within the team, thus kick-starting your career in the tech industry.Don't miss this chance to be part of a team building applications with state-of-the-art AI tools!Responsibilities:Maintain and develop the backend of a recruitment platform based on the Django Rest FrameworkWrite unit tests for new functionalitiesDeliver readable and transparent codeBuild dashboards based on SQL queries and process the resultsHave direct contact with the clientRequirements:Enthusiasm for learning and an open mindKnowledge of Python/Django and an interest in AI/LLMCandidates ready to work from our office in GliwiceWe look forward to hearing from you!RequirementsResponsibilities"
