job_title,company_name,company_location,seniority_level,employment_type,job_description
Assistant social (H/F) - Lausanne,Les Toises,"Lausanne, Vaud, Switzerland",Entry level,Full-time,"Description du rôleEffectuer le bilan de situation sociale et assurer le suivi social des patients suivis dans notre centreTravailler au sein d’une équipe pluridisciplinaire constituée de médecins psychiatres, psychologues, infirmiers, ergothérapeutes, neuropsychologues ayant pour mission d’assurer les suivis psychiatriques et psychothérapeutiques intégrésAssurer l’accompagnement social des patients du centre de psychothérapie des Toises, en tenant compte de la dimension psychiatriqueCoordonner la prise en charge sociale du patient en collaboration avec les différents intervenants du centre de psychothérapie des Toises et auprès du réseau (CMS, CSR, OCTP, DGEJ, etc.)Evaluer et mobiliser les ressources du patient et du réseau en les intégrant au projet thérapeutiqueConduire des interventions éducatives et d’accompagnement dans des démarches concrètes (économiques, administratives, professionnelles, relationnelles, juridiques, recherche de logement, recherche d’une place dans une institution)Assumer le rôle de référent administratif, en attendant l‘instauration d’une mesure de protection de l’adulte par la Justice de Paix, et collaborer avec le patient afin d’éviter la perte des acquis sociauxVotre profilBachelor HES en Travail Social, orientation service social ou titre équivalentExpérience professionnelle en psychiatrie, un atoutCompétence dans l’évaluation de la situation sociale de patients présentant des troubles psychiquesCapacité à travailler de façon autonomeCapacité à collaborer en équipe multidisciplinaire et en réseauDocuments requisCurriculum vitaeLettre de motivationDiplômes, certificats de travail, etc."
APH Bachwiesen: FABE,join.com,"Ramsen, Schaffhausen, Switzerland",Associate,Full-time,"APH Bachwiesen sucht eine/n FABEIm Alters- und Pflegeheim BACHWIESEN finden 32 pflegebedürftige Menschen in ländlicher Umgebung ein Zuhause, ein „Dihomm“. Mit einer individuellen Versorgung und einer fürsorglichen Betreuung bieten wir unseren Bewohnerinnen und Bewohnern ein würdiges, familiäres und aktives Umfeld mit einer bestmöglichen Selbstbestimmung.AufgabenFABE 90% im TagesdienstQualifikationIhre Ausbildung als FABE haben Sie abgeschlossen und bereits einige Jahre Berufserfahrung gesammelt. Ihre Empathie und Ihre Kreativität bringen Sie aktiv im abwechslungsreichen Bewohneralltag mit ein.Mit Engagement gestalten Sie ein breites und abwechslungsreiches Angebot für unsere Bewohnerinnen und Bewohner mit. Ihre offene und flexible Grundhaltung unterstützt Sie dabei. Sie arbeiten empathisch, strukturiert und begegnen dem Alltag in einer kleinen Institution mit einer Prise Humor. Gute Deutschkenntnisse in Wort und Schrift."
Sozialarbeiter*in 80-100%,AOZ,"Zurich, Zurich, Switzerland",Entry level,Full-time,"8055 ZürichBeratung / Soziales / Soziale Arbeit / Sozialpädagogik80% - 100%Aufgrund der Kontingentserhöhung per 1. Juli 2024 werden wir unseren Beratungsdienst vergrössern. Mit der städtischen Kollektivunterkunft (SKU) erwartet Sie ein Bereich der Sozialberatung, in dem Sie ihr Wissen einbringen und die Arbeit massgeblich mitgestalten können. Werden Sie Teil unseres Teams und gestalten Sie aktiv die Zukunft der Beratung von Menschen in herausfordernden Lebenssituationen mit.Stellenantritt: per 1. Juni 2024Ihre AufgabenSie beraten und begleiten Einzelpersonen und Familien bei der beruflichen und sozialen Integration sowie in schwierigen Lebenssituationen.Sie prüfen und klären Ansprüche im Bereich der Sozialhilfe auf der Grundlage des Sozialhilfegesetzes, der Asylfürsorgeverordnung und von weiteren Gesetzen und Richtlinien.Sie machen Rechtsansprüche gegenüber Dritten geltend nach dem Grundsatz der Subsidiarität.Sie führen die IT-unterstützte Fallführung durch (Tutoris).Sie leiten adäquate Massnahmen in Zusammenarbeit mit internen und externen Fachpersonen sowie Fachorganisationen ein uns setzen diese um.Ihr ProfilAbgeschlossenes Studium in Sozialer Arbeit (HF/FH)Mehrjährige Berufserfahrung und Kenntnisse in der Sozialhilfe sowie im Asylwesen Gute IT-Anwenderkenntnisse (MS-Office) und von Vorteil FremdsprachenkenntnisseAusgeprägte konzeptionelle und kommunikative Fähigkeiten Hohe Sozialkompetenz und BelastbarkeitWir bieten IhnenEin sinnstiftendes, verantwortungsvolles, vielseitiges und anspruchsvolles Aufgabengebiet in einem spannenden und dynamischen UmfeldWahlweise mit Beitrag an Verpflegungskosten (Lunch Checks)Diverse Vergünstigungen, z.B. bei Mobility Carsharing, Mobile Abos, Cornercard KreditkartenMobiles Arbeiten nach MöglichkeitIndividuelles WeiterbildungsangebotIhr ArbeitsortBirmensdorferstrasse 493, 8055 Zürich, SchweizPlayPauseTon ausZum Anfang"
"Adjoint(e) à la direction, assistant(e) social(e)",Commune de Tavannes,"Tavannes, Berne, Switzerland",Entry level,Full-time,"Le Service social régional de Tavannes (SSRT) assure les prestations sociales pour 5 communes de la Vallée de Tavannes ainsi que les mandats délivrés par l'Autorité de protection de l'enfant et de l'adulte du Jura bernois.Il met au concours un poste d’adjoint(e) à la direction, assistant(e) social(e), taux d'occupation de 90-100%, pour une entrée en fonction au 1er septembre 2024, à discuter.TâchesSuppléance et soutien à la direction : appartenance à la direction du service, remplacement du directeur ou de la directrice (RH, communication interne et externe, coordination et soutien des relations avec les partenaires, préparation et suivi des travaux en lien avec les autorités, etc.).Soutien et supervision des activités des travailleurs sociaux et travailleuses sociales, en particulier dans le domaine de la protection de l’adulte et de l’aide socialeGestion professionnelle et efficace des mandats de protection adultes (curatelles et enquêtes), en étroite collaboration avec les autorités ainsi que le réseau.Gestion professionnelle et efficace des dossiers de l’aide matérielle et non matérielle, en collaboration avec le réseau.ExigencesÊtre au bénéfice d'un diplôme d'assistant(e) social(e) HES ou équivalent.Être en possession d’un CAS de praticien(ne) formateur(trice) (ou disposé à le faire).Disposer de solides connaissances et compétences dans la protection de l’adulte.Posséder une excellente connaissance dans les assurances sociales.Avoir une expérience dans le management ou l’encadrement.Être à l'aise avec les chiffres et les procédures administratives.Posséder un sens aigu des responsabilités et de la collaboration.Résister au stress et respecter les délais.Maîtriser les outils informatiques bureautiques et professionnels.Maîtriser la langue française, la connaissance de l'allemand est un réel atout.Être en possession d'un permis de conduire.OffresEmploi dans un contexte exigeant et complexe.Cadre de travail au sein d'une équipe motivée et solidaire.Possibilités de perfectionnement.Conditions salariales selon l'échelle des traitements du canton de Berne.Pour tout renseignement complémentaire, vous pouvez vous adresser à Madame Elisa Escobar (032 482 60 43). En cas de retenue pour un entretien de candidature, la présentation des extraits de poursuite et de casier judiciaire sera exigée.Les dossiers de candidature, accompagnés d’une lettre de motivation, des diplômes et comprenant tous les documents usuels (certificats de travail en particulier), sont à nous à adresser par email à secretariat@tavannes.ch, ou via la plateforme jobup, jusqu’au 21 juin 2024."
Sozialarbeiterin 60-100% (m/w/d),two.jobs,"Sursee, Lucerne, Switzerland",Entry level,Full-time,"Im Auftrag unseres Kunden Luzerner Psychiatrie AG suchen wir eine Sozialarbeiterin 60-100% (m/w/d)) .Die Luzerner Psychiatrie AG ist mit ihren Angeboten an verschiedenen Standorten im Kanton Luzern und in Sarnen, Kanton Obwalden vertreten. Über 1300 Mitarbeitende verschiedenster Berufsgruppen und Fachbereiche setzen sich menschlich und kompetent für das Wohl der Patientinnen und Patienten ein. Die Angebote richten sich an Kinder, Jugendliche und Erwachsene bis ins hohe Alter.Die Teams der Gemeindeintegrierten Akutbehandlung (GiA) betreuen und behandeln Menschen in einer akuten psychischen Krise wenn immer möglich in ihrem häuslichen Umfeld. Mit dem sogenannten Hometreatment lassen sich Angehörige besser mit einbeziehen. Wir klären über die Krankheit auf und erarbeiten mit den Betroffenen Strategien, wie sie mit der Krankheit besser umgehen können.AufgabenFallführende Betreuung und Beratung der Patientinnen und Patienten im «Home Treatment»Ihre Aufgaben als Fallführung sind u.a. regelmässige Hausbesuche, Behandlungsplanung und regelmässige Behandlungsüberprüfung im Kernteam, Planung von Systemgesprächen, Anamneseerhebung, gemeinsame Erstellung der AustrittsberichteAktive Zusammenarbeit im Team, mit externen Institutionen und dem Umfeld der Patientinnen und PatientenÜbernahme von Pikettdiensten und einem bis max. zwei Wochenenddiensten pro Monat mit PikettdienstQualifikationTertiärer Abschluss in Sozialer Arbeit mit Studienschwerpunkt SozialarbeitErfahrung im Bereich PsychiatrieFührerschein Kat. BEngagierte, offene und teamfähige PersönlichkeitHohe Flexibilität und SelbständigkeitBenefitsWertschätzendes Arbeitsklima mit flachen Hierarchien und offener DiskussionskulturKollegiales, interdisziplinäres TeamKostenlose Nutzung von NextbikeInteressante, vielseitige Tätigkeit in einem spannenden Bereich der PsychiatrieInterne und externe WeiterbildungsmöglichkeitenBitte stellen Sie uns mit Ihrem Lebenslauf auch Ihre Zeugnisse und Diplome zu. Herzlichen Dank vorab!"
Sozialpädagogen,Kanton Thurgau,"Hüttwilen, Thurgau, Switzerland",Entry level,Full-time,"Wir suchen per 01.09.24 oder nach Vereinbarung einenSozialpädagogenPensum 80 - 100 %Aufgrund der Teamkonstellation bevorzugen wir männliche Bewerber.Das Amt für Justizvollzug umfasst die Vollzugs- und Bewährungsdienste, zwei Gefängnisse und das Massnahmenzentrum Kalchrain.Das MZ Kalchrain resozialisiert junge männliche Straftäter im Alter zwischen 16 und 25 Jahren. Zentrale Aufgabe der Einrichtung ist die Rückfallprävention. Wir arbeiten methodisch nach den Standards der Risiko- und Kompetenzorientierung (ROS© und KOSS©). Fachpersonen aus der Sozialpädagogik, Berufsbildung und forensischen Psychotherapie bilden ein interdisziplinäres Team. Wir stärken die Resilienz von psychisch vulnerablen Klienten, fördern ihre persönliche Entwicklung und bilden sie beruflich aus.Ihre AufgabenSie unterstützen die Klienten beim Erarbeiten einer sozialverträglichen ZukunftsperspektiveSie begleiten die Klienten im Alltag und in der BezugspersonenarbeitSie stellen die sozialpädagogische Dokumentation der Klientel sicherSie gestalten die Zusammenarbeit mit den Klienten transparent und partizipativSie tragen zur interdisziplinären Zusammenarbeit intern und mit einweisenden Behörden beiIhr ProfilSie verfügen über einen Abschluss in Sozialpädagogik / Sozialarbeit (FH/HFS, oder mit Äquivalenzbestätigung)Sie verfügen über eine initiative und belastbare PersönlichkeitSie suchen die Herausforderung in der Arbeit mit anspruchsvoller Klientel im stationären RahmenFahrausweis der Kat. B (Personenwagen)Wir Bieten IhnenAbwechslungsreiche, spannende und herausfordernde sozialpädagogische TätigkeitMitarbeit und Mitgestaltung in einem ambitionierten und eingespielten TeamIntervision und TeamsupervisionAttraktive kantonale AnstellungsbedingungenInteressante interne und externe WeiterbildungsmöglichkeitenFühlen Sie sich angesprochen?Herr Ronny Beirer (Gruppenleiter der Integrationsgruppe) erteilt Ihnen unter T 058 345 83 41 gerne weitere Auskünfte.Zusätzliche Informationen finden Sie unter www.kalchrain.tg.ch Amt für Justizvollzug, Zentrale Dienste, Zürcherstrasse 323, 8510 Frauenfeldwww.kalchrain.tg.ch www.ajv.tg.ch"
Gruppenleiterin/ Co- Pädagogin/ FaBe,PLAYground education,"Zurich, Zurich, Switzerland",Associate,Full-time,"«PLAYground education ist sehr organisiert, inklusiv und kümmert sich sehr gut um ihre Mitarbeiterinnen und Kinder. Ich habe für einen anderen Kita gearbeitet und kann den Unterschied wirklich sehen. Durch die gute Begleitung habe ich die Motivation, wieder zur Arbeit zu kommen und habe wieder Freude an die Arbeit mit Kinder!» Marcia, Teamleiterineine klare Vision und Missionein innovatives pädagogisches Konzept basierend auf Reggio-Pädagogik, Maria Montessori und Emmi Pikleraussergewöhnlich schöne Bildungsräume und Teamräume für Erholung und Büroarbeitein herzliches, engagiertes und lösungsorientiertes Team und LeitungÜberdurchschnittlicher Lohn mit Bonus5 Wochen Ferien und einer 40 Stunden WocheYoga und weitere ErhohlungsangeboteCoachings, Weiterbildungen und Leadership Ausbildung (KITA Leitung)Die Möglichkeit zur Begleitung im HF -Studiengang ""Kindheitspädagogik"" oder “Sozialpädagogik“Innovationen auf allen Ebenen: neuste digitale Tools, Prozesse und Zusammenarbeitwunderbare Kinder und Kund*innengute Energie und Freude :-)Wenn du in einem inspirierten, wohlwollenden Umfeld mit hoher Energie arbeiten möchtest, dann schreib mich gleich eine EmailHerzlichst, AngelaAufgabenPädagogikMittels pädagogischer Planung, Vorbereitung der Lernumgebung und interessensbasierter Angebote abwechslungsreiche und relevante Lernpotenziale für für die Kinder schaffenBildungsangebote im Rahmen der verschiedenen Bildungsbereiche entwickeln, nach Interessen der Kinder umsetzen und reflektierenDen Raum als Dritten Pädagogin bewusst gestalten und einsetzenRituale für die Kindergruppe definieren, durchführen, weiterentwickeln und dokumentierenDie themenorientierte pädagogische Monatsplanung erstellen und durchführenAktivitäten / Sequenzen gemäss Wochenplan zielorientiert und methodisch konzipieren, planen, durchführen und dokumentierenDie Interessen der einzelnen Kinder sowie der Gruppe als Ganzem erkennen und situativ angepasst handelnAusflüge planen, organisieren und durchführenEingewöhnungen, Übertritte und Austritte durchführen, gestalten und dokumentieren gemäss EingewöhnungskonzeptKinderPersönliche, wohlwollende und ressourcenorientierte Beziehungen zu allen Kindern der Gruppe aufbauen und pflegenJedes Kind in seiner Einzigartigkeit wahrnehmen und wohlwollend spiegelnRegelmässige schriftliche Beobachtungen und Talentportfolioeinträge für jedes Kind verfassen oder via Delegation sicherstellenAktualität, Relevanz, Qualität und Quantität des Portfolios für jedes Kind sicherstellenElternPersönliche tragfähige Beziehungen zu allen Eltern der Gruppe aufbauen und pflegenElternpartnerschaften durch Sichtbarmachen der pädagogischen Arbeit, Transparenz , Dienstleistungsorientierung und offene Kommunikation laufend vertiefenElterngespräche - primär Eintritts- und Übertrittsgespräche sowie jährliche Standortgespräche - planen, dokumentieren und auf der Basis des jeweiligen Talentportfolios durchführenElternaktionen und Elternanlässe planen, vorbereiten, durchführen und dokumentierenAbhol- und Bringsituationen gemäss Konzept gestalten und durchführenTeamführungDie Pädagogischen Aufträge des Teams im Alltag aufteilen, planen und überprüfenTeammitglieder im Alltag ressourcenorientiert führen und die Qualität der Auftragserfüllung sicherstellenGruppenregeln erarbeiten, gestalten, umsetzen und entwickelnMonatliche Gruppensitzung planen, durchführen und dokumentierenMitarbeiterinnen einführen gemäss EinführungskonzeptDie praktische Ausbildung der Lernenden in Zusammenarbeit mit der Berufsbildungsverantwortlichen gemäss dem Ausbildungskonzept planen, umsetzen, dokumentieren und reflektierenQualifikationKindheitspädagogin, Sozialpädagogin, HFEntwicklungBildet sich selbst aktiv weiter in der frühkindliche BildungAktiv interessiert an Feedback und gewillt durch konstruktive Kritik zu wachsenAktiv und lösungsorientiert an Sitzungen, Projekten, Events und internen Weiterbildungen teilnehmen Pädagogische Arbeit reflektieren und verbessern"
"Fachperson Betreuung Kind oder Kleinkindererzieher/in, 60-100 %",Stiftung Alpbach,"Meiringen, Berne, Switzerland",Entry level,Part-time,"Die Kita Karfunkel betreut im Schnägglihüüs auf dem Areal der Stiftung Alpbach pro Tag bis zu zwölf Kinder im Alter von 3 Monaten bis und mit dem ersten Kindergartenjahr. Das Wohl und die Entwicklung der Kinder stehen im Vordergrund. Die Kita ermöglicht vielfältige Erlebnismöglichkeiten, Zeit für Spiele sowie Bewegung drinnen und draussen, aber auch Musse für ruhige Momente. Infolge Mutterschaftsurlaub suchen wir nach Vereinbarung eine engagierte und motivierte Persönlichkeit alsFachperson Betreuung Kind oder Kleinkindererzieher/in, 60-100 %AufgabenbereicheBetreuung der Kinder im Alter von 3 Monaten bis zum Kindergartenalter im Rahmen des pädagogischen KonzeptsZusammenarbeit mit den ElternÜbernahme von hauswirtschaftlichen und administrativen ArbeitenAusbildung und Begleitung der LernendenQualifikationenAbgeschlossene Ausbildung als FabeK, KKE oder gleichwertige AusbildungLiebevollen und kompetenten Umgang mit KindernGute mündliche und schriftliche Deutschkenntnisse in MundartHohe Sozialkompetenz, Belastbarkeit und VerantwortungsbewusstseinSelbstständiges und teamorientiertes ArbeitenWertschätzende, motivierende und empathische HaltungWas wir bietenEine abwechslungsreiche, spannende und verantwortungsvolle Tätigkeit mit interessanten Zukunftsperspektiven Attraktive Anstellung in einem modernen BetriebGute Sozialleistungen und ein fortschrittlicher GesamtarbeitsvertragMitarbeit im interdisziplinären Team und in ProjektenGezielte Förderung durch interne und externe WeiterbildungenKontaktpersonFrau Rebekka GasserLeitung Kita KarfunkelTelefon Stiftung Alpbach: 033 972 42 52Telefon direkt: 033 972 42 80"
"Sozialberater (m/w), 80 - 100%",Kanton Schaffhausen,"Schaffhausen, Schaffhausen, Switzerland",Entry level,Full-time,"Kanton Schaffhausen, SozialamtDie Kantonale Verwaltung Schaffhausen erbringt in den unterschiedlichsten Bereichen Dienstleistungen für die Öffentlichkeit, Unternehmen und Privatpersonen. Als Arbeitgeber werden bei uns die verschiedensten Berufsfelder unter einem Dach vereint. So vielfältig wie unsere Organisation, sind auch unsere Arbeitsplätze. Diese werden geprägt durch breite Aufgabengebiete, Professionalität und Bürgernähe.Das Sozialamt des Kantons Schaffhausen erledigt im Auftrag des Bundes zahlreiche Aufgaben in Zusammenhang mit der Unterbringung, Begleitung, Integration und der wirtschaftlichen Unterstützung (Sozialhilfe) von Personen aus dem Asyl- und Flüchtlingsbereich. Infolge Neubesetzung suchen wir per sofort oder nach Vereinbarung einen"
"Sozialarbeiter, Sozialpädagoge, Psychologe (m/w), 50 - 60%",Kanton Schaffhausen,"Schaffhausen, Schaffhausen, Switzerland",Entry level,Full-time,"Kanton Schaffhausen, Kindes- und ErwachsenschutzbehördeAufgabe der Gerichte und der weiteren Justizbehörden ist die unabhängige Rechtsprechung. Als Arbeitgeber bieten wir verantwortungsreiche, vielfältige und anspruchsvolle Arbeitsstellen.Die Kindes- und Erwachsenenschutzbehörde (KESB) ist ein Spezialgericht. Sie sorgt für den Schutz von Erwachsenen, die nicht in der Lage sind, die nötige Unterstützung selber einzuholen, und für das Wohl von Kindern und Jugendlichen, deren Eltern sich nicht ausreichend um sie kümmern können.Für unseren Abklärungsdienst im Kindes- und Erwachsenenschutz suchen wir zur Verstärkung unseres Teams per 1. September 2024 oder nach Vereinbarung eine motivierte Fachperson als"
